Date,Business Area,Region,Country,IT Sub Area,IT Area,Cost element name,Cost Element Group,Cost Element Sub Group,Actual
Sep,Infrastructure,Africa & Asia,Turkey,Emerging,BU Support,Fixed Assets,Depr & Amort,Depreciation,8754.33
Sep,Infrastructure,Africa & Asia,Turkey,Emerging,BU Support,Maintenance and Repairs,Hardware & Software,Hardware Maintenance,56.15
Sep,Infrastructure,Africa & Asia,Turkey,Emerging,BU Support,Telecom Services,Other,Telecomm,191.9
Sep,Infrastructure,Europe,Germany,Data Centers,Infrastructure,Contractors,Labor,External Labor,10465.22
Sep,Infrastructure,Europe,Germany,Data Centers,Infrastructure,Professional Services,Labor,External Labor,621.44
Sep,Infrastructure,Europe,Switzerland,Productivity,Infrastructure,Fixed Assets,Depr & Amort,Depreciation,318.31
Sep,Infrastructure,Europe,Switzerland,Productivity,Infrastructure,Non CAPEX Equipment,Hardware & Software,Hardware,754.82
Sep,Infrastructure,Europe,Switzerland,Productivity,Infrastructure,Telephone,Other,Telecomm,656.98
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Bonuses,Labor,Internal Labor,3260.47
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Computer Hardware,Hardware & Software,Hardware,18638.1
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Fixed Assets,Depr & Amort,Depreciation,9488.62
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Insurance,Labor,Internal Labor,3140.41
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Maintenance and Repairs,Hardware & Software,Hardware Maintenance,40472
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Non product,Hardware & Software,Hardware Maintenance,1169.92
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Other Bonuses,Labor,Internal Labor,1086.83
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Payroll Taxes - Salaries,Labor,Internal Labor,2854.55
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Project Expense,Other,Project Expenses,44597.95
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Regular Salaries And Wages,Labor,Internal Labor,36227.49
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Retirement Medical,Labor,Internal Labor,2189.49
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Retirement Plan Match,Labor,Internal Labor,1221.35
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Savings Plan,Labor,Internal Labor,1916.64
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Software,Depr & Amort,Amortization,19107.17
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Sub Contract Labor,Labor,External Labor,51862.43
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Vacation,Labor,Internal Labor,245.08
Sep,Manufacturing,USA,Puerto Rico,Manufacturing,BU Support,Workers Comp,Labor,Internal Labor,380.39
Sep,Office & Administrative,USA,USA,R2,Functional,Purchased Software,Hardware & Software,Software,112.57
Sep,Office & Administrative,USA,USA,R2,Functional,Software Maintenance,Hardware & Software,Software Maintenance,81.62
Sep,Office & Administrative,USA,USA,R2,Functional,Telecom,Other,Telecomm,371.43
Sep,R&D,Europe,Germany,Development,BU Support,Retirement Plan Match,Labor,Internal Labor,4723.92
Sep,Distribution,Europe,Germany,GRC,Governance,Retirement Plan Match,Labor,Internal Labor,1254.23
Sep,Infrastructure,USA,USA,Core Infrastructure,Infrastructure,Adjustments,Shared Services,Outbound Allocations,2281000
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Auto Insurance,Other,Vehicles,181.11
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Bonuses,Labor,Internal Labor,4718.88
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Contractors,Labor,External Labor,10220.21
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Fixed Assets,Depr & Amort,Depreciation,89.73
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Lease,Other,Vehicles,-2120.33
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Non CAPEX Equipment,Hardware & Software,Hardware,1940.1
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Other Charges,Shared Services,Outbound Allocations,2416.25
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Other Miscellaneous Expense,Other,Other,4.05
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Payroll Taxes - Salaries,Labor,Internal Labor,8634.46
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Regular Salaries And Wages,Labor,Internal Labor,55048.96
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Retirement Plan Match,Labor,Internal Labor,366.21
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Sales Incentive Comp,Labor,Internal Labor,3377.27
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Telephone,Other,Telecomm,-20933.58
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Travel Expense,Other,Travel,10454.79
Sep,BU,Europe,United Kingdom,Distribution,BU Support,Vehicle Fuel,Other,Vehicles,1646.04
Sep,Infrastructure,Europe,Ireland,Networking,Infrastructure,Professional Services,Labor,External Labor,215000
Sep,Manufacturing,Latin America,Brazil,Manufacturing,BU Support,Fixed Assets,Depr & Amort,Depreciation,6232.96
Sep,Manufacturing,Latin America,Brazil,Manufacturing,BU Support,Materials,Other,Supplies,10.64
Sep,Manufacturing,Latin America,Brazil,Manufacturing,BU Support,Non product,Hardware & Software,Hardware Maintenance,813.12
Sep,Manufacturing,Latin America,Brazil,Manufacturing,BU Support,Other Bonuses,Labor,Internal Labor,493.99
Sep,Manufacturing,Latin America,Brazil,Manufacturing,BU Support,Other Supplies,Other,Supplies,105.71
Sep,Manufacturing,Latin America,Brazil,Manufacturing,BU Support,Outsourcing,Labor,External Labor,14750.39
Sep,Manufacturing,Latin America,Brazil,Manufacturing,BU Support,Postage,Other,Other,0.69
Sep,Manufacturing,Latin America,Brazil,Manufacturing,BU Support,Professional Services,Labor,External Labor,-2486.19
Sep,Manufacturing,Latin America,Brazil,Manufacturing,BU Support,Retirement Medical,Labor,Internal Labor,20066.08
Sep,Manufacturing,Latin America,Brazil,Manufacturing,BU Support,Software,Depr & Amort,Amortization,29.31
Sep,Manufacturing,Latin America,Brazil,Manufacturing,BU Support,Telecom Services,Other,Telecomm,44.06
Sep,Manufacturing,Latin America,Brazil,Manufacturing,BU Support,Telephone,Other,Telecomm,71.41
Sep,BU,USA,USA,R5,Functional,Outsourcing,Labor,External Labor,42012
Sep,BU,USA,USA,R5,Functional,Professional Services,Labor,External Labor,352332.66
Sep,BU,USA,USA,R5,Functional,Projects - Transfers,Shared Services,Outbound Allocations,84785.2
Sep,BU,USA,USA,R5,Functional,Property Taxes,Other,Taxes,184.46
Sep,BU,USA,USA,R5,Functional,Software,Depr & Amort,Amortization,525581.13
Sep,BU,USA,USA,R5,Functional,Software Maintenance,Hardware & Software,Software Maintenance,40000
Sep,BU,Latin America,Mexico,Emerging,BU Support,Contractors,Labor,External Labor,5599.39
Sep,BU,Latin America,Mexico,Emerging,BU Support,Other Miscellaneous Expense,Other,Other,271.11
Sep,BU,USA,USA,R5,Functional,Bonuses,Labor,Internal Labor,70595.92
Sep,BU,USA,USA,R5,Functional,Computer Hardware,Hardware & Software,Hardware,927.8
Sep,BU,USA,USA,R5,Functional,Conferences,Other,Training,267
Sep,BU,USA,USA,R5,Functional,Fixed Assets,Depr & Amort,Depreciation,78688.59
Sep,BU,USA,USA,R5,Functional,Individual Performance Recognition,Other,Employee Performance,2409.31
Sep,BU,USA,USA,R5,Functional,Insurance,Labor,Internal Labor,57574.7
Sep,BU,USA,USA,R5,Functional,M&E-Nondeductible,Other,Travel,767.66
Sep,BU,USA,USA,R5,Functional,Marketing Campaigns,Other,Other,563.66
Sep,BU,USA,USA,R5,Functional,Materials,Other,Supplies,2766.95
Sep,BU,USA,USA,R5,Functional,Memberships,Other,Other,263
Sep,BU,USA,USA,R5,Functional,Outsourcing,Labor,External Labor,7949.87
Sep,BU,USA,USA,R5,Functional,Payroll Taxes - Salaries,Labor,Internal Labor,37274.98
Sep,BU,USA,USA,R5,Functional,Professional Services,Labor,External Labor,8817.43
Sep,BU,USA,USA,R5,Functional,Projects - Transfers,Shared Services,Outbound Allocations,-211963
Sep,BU,USA,USA,R5,Functional,Property Taxes,Other,Taxes,8478.98
Sep,BU,USA,USA,R5,Functional,Purchased Software,Hardware & Software,Software,3283.42
Sep,BU,USA,USA,R5,Functional,Regular Salaries And Wages,Labor,Internal Labor,553396.89
Sep,BU,USA,USA,R5,Functional,Retirement Medical,Labor,Internal Labor,58136.74
Sep,BU,USA,USA,R5,Functional,Retirement Plan Match,Labor,Internal Labor,61796.45
Sep,BU,USA,USA,R5,Functional,Savings Plan,Labor,Internal Labor,30574.03
Sep,BU,USA,USA,R5,Functional,Software Maintenance,Hardware & Software,Software Maintenance,2380.55
Sep,BU,USA,USA,R5,Functional,Telecom,Other,Telecomm,3709.85
Sep,BU,USA,USA,R5,Functional,Training,Other,Training,4230
Sep,BU,USA,USA,R5,Functional,Travel Expense,Other,Travel,4255.42
Sep,Distribution,USA,USA,Process Management,Governance,Bonuses,Labor,Internal Labor,22647.64
Sep,Distribution,USA,USA,Process Management,Governance,Computer Hardware,Hardware & Software,Hardware,7944
Sep,Distribution,USA,USA,Process Management,Governance,Fixed Assets,Depr & Amort,Depreciation,3352.9
Sep,Distribution,USA,USA,Process Management,Governance,Individual Performance Recognition,Other,Employee Performance,75
Sep,Distribution,USA,USA,Process Management,Governance,Insurance,Labor,Internal Labor,21693.85
Sep,Distribution,USA,USA,Process Management,Governance,Materials,Other,Supplies,569.53
Sep,Distribution,USA,USA,Process Management,Governance,Outsourcing,Labor,External Labor,79482.39
Sep,Distribution,USA,USA,Process Management,Governance,Payroll Taxes - Salaries,Labor,Internal Labor,17968.17
Sep,Distribution,USA,USA,Process Management,Governance,Professional Services,Labor,External Labor,179208.4
Sep,Distribution,USA,USA,Process Management,Governance,Property Taxes,Other,Taxes,207.21
Sep,Distribution,USA,USA,Process Management,Governance,Purchased Software,Hardware & Software,Software,19671.5
Sep,Distribution,USA,USA,Process Management,Governance,Regular Salaries And Wages,Labor,Internal Labor,176554.03
Sep,Distribution,USA,USA,Process Management,Governance,Retirement Medical,Labor,Internal Labor,21906.6
Sep,Distribution,USA,USA,Process Management,Governance,Retirement Plan Match,Labor,Internal Labor,19727.72
Sep,Distribution,USA,USA,Process Management,Governance,Savings Plan,Labor,Internal Labor,9384.82
Sep,Distribution,USA,USA,Process Management,Governance,Software Maintenance,Hardware & Software,Software Maintenance,64511.06
Sep,Distribution,USA,USA,Process Management,Governance,Subscriptions,Other,Other,7
Sep,Distribution,USA,USA,Process Management,Governance,Telecom,Other,Telecomm,1531.03
Sep,Infrastructure,USA,USA,Core Infrastructure,Infrastructure,Adjustments,Shared Services,Outbound Allocations,352000
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Employee Transport,Labor,Internal Labor,190.52
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Outsourcing,Labor,External Labor,64402.93
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Payroll Taxes - Extra,Labor,Internal Labor,519.92
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Payroll Taxes - Other,Labor,Internal Labor,609.72
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Payroll Taxes - Retirement,Labor,Internal Labor,1405.49
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Payroll Taxes - Salaries,Labor,Internal Labor,4105.34
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Payroll Taxes - Variable Comp,Labor,Internal Labor,490.35
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Recurring,Other,Other,-16503.17
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Regular Salaries And Wages,Labor,Internal Labor,15361.07
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Travel Expense,Other,Travel,1229.08
Sep,Office & Administrative,Europe,Spain,R2,Functional,Travel Expense,Other,Travel,389.04
Sep,R&D,Europe,Spain,R&D,BU Support,Administrative Fees,Shared Services,Outbound Allocations,10536.32
Sep,R&D,Europe,Spain,R&D,BU Support,BU Expenses,Shared Services,Inbound Allocations,4468.88
Sep,Office & Administrative,Europe,United Kingdom,R2,Functional,Software Maintenance,Hardware & Software,Software Maintenance,-942.3
Sep,Distribution,Europe,France,GRC,Governance,Bonuses,Labor,Internal Labor,799.49
Sep,Distribution,Europe,France,GRC,Governance,Employee Benefits,Labor,Internal Labor,1509.69
Sep,Distribution,Europe,France,GRC,Governance,Payroll Taxes - Extra,Labor,Internal Labor,965.02
Sep,Distribution,Europe,France,GRC,Governance,Payroll Taxes - Other,Labor,Internal Labor,546.64
Sep,Distribution,Europe,France,GRC,Governance,Payroll Taxes - Retirement,Labor,Internal Labor,1484.98
Sep,Distribution,Europe,France,GRC,Governance,Payroll Taxes - Salaries,Labor,Internal Labor,3460.66
Sep,Distribution,Europe,France,GRC,Governance,Payroll Taxes - Variable Comp,Labor,Internal Labor,499.08
Sep,Distribution,Europe,France,GRC,Governance,Regular Salaries And Wages,Labor,Internal Labor,13750.9
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Auto Insurance,Other,Vehicles,184.45
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,BU Expenses,Shared Services,Inbound Allocations,36898.66
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Computer Hardware,Hardware & Software,Hardware,27865.21
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Computer Rental,Hardware & Software,Hardware,-153285.74
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Contractors,Labor,External Labor,16336.59
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Domestic Travel,Other,Travel,85.59
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Employee (Other),Other,Other,192.16
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Fixed Assets,Depr & Amort,Depreciation,31993.99
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Fringe Benefits Tax,Labor,Internal Labor,62.89
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,International Travel,Other,Travel,156.5
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,M&E-100% Deductible,Other,Travel,65.5
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,M&E-3rd Party,Other,Travel,72.06
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Machine/Equipment Rental,Hardware & Software,Hardware,20869.93
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Office Services,Labor,External Labor,12.96
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Office Supplies,Other,Supplies,1076
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Other ( + Tax ),Labor,Internal Labor,5320.19
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Outsourcing,Labor,External Labor,251203.69
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Payroll Taxes - Extra,Labor,Internal Labor,3973.7
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Regular Salaries And Wages,Labor,Internal Labor,55714.78
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Savings Plan,Labor,Internal Labor,7792.77
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Security,Other,Other,295.41
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Services,Other,Other,1369.2
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Telecom Services,Other,Telecomm,99930.94
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Telephone,Other,Telecomm,36428.44
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Training,Other,Training,2053.4
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Travel Allowance,Other,Travel,7903.02
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Travel Expense,Other,Travel,170.99
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Vacation,Labor,Internal Labor,3985.65
Sep,Infrastructure,Aus and NZ,New Zealand,Core Infrastructure,Infrastructure,Workers Comp,Labor,Internal Labor,645.41
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,Adjustments,Labor,Internal Labor,887.27
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,Bonuses,Labor,Internal Labor,1033.4
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,Computer Hardware,Hardware & Software,Hardware,-4067.64
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,Computer Rental,Hardware & Software,Hardware,8165.99
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,Employee Wellness,Labor,Internal Labor,271.54
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,Fixed Assets,Depr & Amort,Depreciation,1008.65
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,Food Expense,Other,Other,121.24
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,Insurance,Labor,Internal Labor,274.23
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,Interest,Other,Vehicles,161.74
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,Lease,Other,Vehicles,970.68
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,M&E-Nondeductible,Other,Travel,44.02
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,Matching,Other,Other,-31.12
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,Materials,Other,Supplies,16137.36
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,Payroll Taxes - Salaries,Labor,Internal Labor,3269.98
Sep,Infrastructure,Europe,Belgium,Productivity,Infrastructure,Professional Services,Labor,External Labor,5573.12
